pmcid,inclusion_criteria,exclusion_criteria,has_dedicated_section,criteria_location
2678250,"Individuals with LTBI were defined as healthy people with a positive tuberculin skin test and no symptoms and signs of active TB. All of the LTBI subjects were health care workers, and thus very likely to be close contacts of TB index cases. Moreover, all the LTBI subjects included in this groups have not been vaccinated with BCG.","None of the TB patients had been vaccinated during infancy with BCG, or had evidence of human immunodeficiency virus (HIV) infection, or was being treated with steroid or other immunosuppressive or anti-tubercular drugs at the time of their first sampling.",False,Embedded in Materials and Methods section
9001100,"All recruited patients with MDD met the following criteria: HamiltonDepressionRatingScale(HAMD)score  17; no stable drug treatment; no other psychiatric symptoms or acute physical disease; and no history of other interventions, especially for mindfulness meditation, qigong practice, or yoga.","The exclusion criteria for HCs are as follows: a history of mindfulness meditation in the last 2 months, head injury, no history of alcohol or drug abuse, pregnancy, and a family history of psychiatric illnesses.",False,Methods - Participants section
10963014,,,False,No specific criteria mentioned
3793927,,,False,No specific criteria mentioned
10589681,,,False,No specific criteria mentioned
6264840,,,False,No specific criteria mentioned
4372527,,,False,No specific criteria mentioned
5617221,The source population was all children between ages of 9-23 months who had started at least one dose of the routine immunization program in the Laelay Adiabo District. The study population was all children residing in 11 randomly selected kebeles. Cases were children (9-23 months) who had missed at least one dose of the recommended vaccine schedule. Controls were children between ages of 9-23 months who had completed the entire recommended vaccine schedule.,Children who had permanently changed their residence or did not meet the eligibility criteria of a case or control were excluded from the study.,False,Embedded in Methods section under Source population and study population
9513358,,,False,No specific criteria mentioned
8410762,"110 patients reporting moderate-to-severe levels of depression [Montgomery-Asberg Depression Rating Scale (MADRS; [ ]) score25] and at least one failed, an adequate trial of an FDA-approved antidepressant medication in the current depressive episode were recruited for an experimental therapeutics study and completed a neuroimaging assessment prior to commencing any study intervention procedures.",Any existing depression treatment regimens were stably maintained throughout the study period.,False,Embedded in Methods section description
5661170,"23 first episode, short duration (<1year, range=110months) and drug-naive patients were recruited from the psychiatry department of the First Affiliated Hospital of Kunming Medical University. Two experienced psychiatrists independently made the diagnosis of MDD according to the diagnostic assessment using the Structured Clinical Interview for DSM-IV-Patient Edition (SCID-P). All of the MDD patients also had a score of 18 or greater (scores range: 1834) on the 17-item Hamilton Depression Rating Scale (HDRS). The MDD patients included in the study had never received antidepressive medications before the MRI examinations.","Patients that had other comorbid Axis I and Axis II psychiatric disorders, such as schizophrenia, bipolar affective disorder, and personality disorders, were excluded from this study according to the SCID-I and SCID-II assessments. Although some MDD patients had anxiety symptom, they did not meet the diagnostic criteria for anxiety disorders.",False,Embedded in Subjects section description
10740356,,,False,No specific criteria mentioned
4781892,,,False,No specific criteria mentioned
8978891,"resting-state EEG data was collected from 977 children (N  = 967, N  = 914, N  = 904). The children had a mean age of just over 3 years (38.8 months, standard deviation (SD) = 0.9 months) and 46.1% were girls","178 were lost to follow up due to the following reasons: 122 had moved away from the study area, 40 were temporarily unavailable during the assessment period, 12 families refused consent, 3 children had died, and 1 child was unable to participate due to a physical handicap",False,Embedded in the Results section
6292599,"Participants were included if they had no signs of dementia, as determined by two cognitive assessment batteries: the Mini-Mental Status Examination (MMSE; score > 25), which tests memory, attention, and language abilities; and the Montreal Cognitive Assessment (MoCA; score > 25), which tests memory, visuospatial, executive, attention, concentration, and language abilities. For both the MMSSE and MoCA, we used a cut-off score of > 25.","We excluded any patients at the lower limit of either the MMSE or MoCA. We also recruited 26 elderly HCs with no history of neurological disease and no signs of dementia. Among them, we excluded six who overestimated time duration (by judging objective 22 s duration as more than 23 s subjectively).",False,Embedded in Participants section description
4244037,,,False,No specific criteria mentioned
10796062,,,False,No specific criteria mentioned
4395093,,,False,No specific criteria mentioned
10584188,women aged 5065 years,"consumption of corticosteroids (n = 37), fracture history (n = 23), menopause earlier than 40 years (n = 17), hyperthyroidism (n = 30), rheumatoid arthritis (n = 15), malignancy (n = 14), kidney failure or disease (n = 4), oral bisphosphonate consumption in the last 6 months (n = 6), chronic liver disease (n = 3), hyperparathyroidism (n = 4), phenytoin consumption (n = 7), reluctance to continue study (n = 34)",False,Embedded in Participants section description
7886132,"Twenty-six sea turtles were brought to the Dubai Turtle Rehabilitation Project between March 2012 and January 2018 suffering from various ailments including cold stunning (n = 3), debilitating physical injuries such as boat impact trauma (n = 4), general debilitation (n = 7), and infection, such as those described in Caliendo et al., [ ] (n = 6). An additional six sea turtles were admitted with one front flipper already missing, due to injury, or had a flipper amputated by a veterinarian due to damage caused by entanglement in discarded waste.","Three sea turtles (not included in the tracking analyses) were struck by boats soon after release and subsequently died. Identification and cause of death were confirmed by visual observation of the carcass, with equally spaced deep lacerations indicative of a propeller. Spots, a sub-adult green turtle, and Lucky, a sub-adult hawksbill turtle, were both amputees and were released on the same day in November 2017. Both sea turtles swam into the man-made Dubai Canal ( ), where they were killed by separate boat strikes which were also visually confirmed.",False,Embedded in the Study Animals section description
7162451,,,False,No specific criteria mentioned
9560537,"All newly diagnosed diabetes patients who had follow-up at the University of Gondar compressive specialized hospital, Felege Hiwot referral hospital, and Debre Tabor referral hospitals from January 1, 2010 to August 2020, and whose age was greater than or equal to 15, were the study participants.","DM Patients whose dates of registration and diagnosis of a diabetic foot ulcer were unknown, as well as patients who had already developed a diabetic foot ulcer at the time the study began, were excluded.",False,Methods - Sample and population section
5714351,,,False,No specific criteria mentioned
5363836,,,False,No specific criteria mentioned
5887307,,,False,No specific criteria mentioned
10569722,,,False,No specific criteria mentioned
3428336,,,False,No specific criteria mentioned
3313971,,,False,No specific criteria mentioned
9942989,"young adults aged between 16 and 24 who identified as male or female (non-binary numbers being too small for meaningful analysis), who had access to the Internet and were fluent in written English, simplified Chinese or Hindi",,False,Participants section
5008680,"Twenty-three healthy non-smoker males were recruited for this study. All the participants were sea-level residents. Fifteen participants were endurance-trained athletes involved in running or cycling activities (at least 10 hours per week for the past ten years). The remaining eight were sedentary or active in recreational sports, but had never been engaged in systematic endurance training.",Participants with current medication use or substance abuse history were not eligible for the study.,False,Embedded in Participants section description
3411826,Adult FVB-N mice (n=5 per time point) and C57BL6 procollagen 1(I)-GFP reporter mice (n=2 per time point) were given one or two cycles of 3% DSS (one cycle=5 days of 3% DSS) with seven days of recovery between cycles.,"Animals were euthanized if they lost more than 15% body weight or if they became lethargic, immobile or failed to eat or drink.",False,Embedded in Materials and Methods section under Dextran Sodium Sulfate (DSS) Treatment
7239441,,,False,No specific criteria mentioned
3413671,,,False,No specific criteria mentioned
3340412,"Fresh tumor tissue samples were collected from 25 patients with sporadic PTC (meanSD age 53.316.3 years old, range 1881 years old; 84.0% women; no any pretreatment)",All patients had no history of radiation exposure,False,Embedded in Patients and Tumor Tissues section description
4930214,,,False,No specific criteria mentioned
7228106,"This qualitative study recruited married couples, who were current or former car drivers, aged 60 years and above, and literate in English.",,False,Participants and definitions section
2110885,,,False,No specific criteria mentioned
11008815,"female healthcare professionals aged 21-65 years, no prior history of cervical cancer, speaks English and employed full-time",students and non-health care professionals were excluded from the study,False,Methods - Sample size section
8292743,"One-hundred-forty healthy volunteers (108 females; age range: 1861 years old;   M   = 27.5,   SD   =  7.21; education: range 821 years;   M   = 16.1,   SD   =  2.80) participated in this online study. All participants were native Italian speakers, had a normal or corrected-to-normal vision, and had no previous mental or neurological illness history.",Participants with current medication use or substance abuse history were not eligible for the study.,False,Embedded in Participants section description
5967697,"Participants with WAD Grade II (neck pain and physical signs of movement loss, neck tenderness) were included provided they were currently experiencing neck pain as the result of a motor vehicle crash (MVC) which occurred more than 3 months ago but not more than 10 years ago and provided that they rated their neck pain over the past week as moderate or greater (modified item seven of Short Form 36 survey [ ]the question asked about neck pain as opposed to bodily pain in the original item). Inclusion criteria for both participant groups were; aged 1865 years, no history of mental illness, head injury, diabetes or other medical condition which may influence results, no injury or pain in the right leg requiring treatment in the past 12 months and no contraindications for MRI examination.","Patients with WAD III (neurological loss) and WAD IV (fracture or dislocation) were excluded. In addition, the asymptomatic control participants were included provided they had no history of whiplash injury, were pain free and had no history of neck pain over the preceding 12 months.",False,Participants section embedded in participant description
3720883,"Subjects between the ages of 55 and 90 were enrolled in the ADNI study. Eligibility criteria were as follows (see Petersen et al., 2010, for a description of participant recruitment and classification protocol). Normal elderly controls had a Mini Mental State Examination (MMSE) score of 24 or higher, a Clinical Dementia Rating (CDR) of 0, and no diagnosis of neurological disease or psychiatric disorder. MCI patients had a MMSE score of 24 or higher, a subjective memory complaint, objective memory loss measured by education adjusted scores on the Wechsler Memory Scale Logical Memory II, a CDR score of 0.5, absence of significant levels of impairment in other cognitive domains, preserved activities of daily living (ADLs), and an absence of dementia. Participants with mild AD were enrolled if they had a MMSE score between 20 and 26 (inclusive), a CDR score of 0.5 or 1.0, and met NINCDS-ADRDA criteria for probable AD.","Participants with mild AD were enrolled if they had a MMSE score between 20 and 26 (inclusive), a CDR score of 0.5 or 1.0, and met NINCDS-ADRDA criteria for probable AD.",False,Embedded in Subjects section description
7890966,All adult patients (age >/= 18years) at the clinic were asked to participate in an evaluation study of the Affect School.,"None were unemployed, but four were on sick leave at the time.",False,Embedded in Participants section description
11115197,,,False,No specific criteria mentioned
3119690,,,False,No specific criteria mentioned
8133446,Pregnant women in the QPC were eligible for this study if they were i) more than 18 years old; ii) continuously covered by the Quebec prescription drug insurance for 12 months before pregnancy and during pregnancy; and iii) had given birth to a liveborn singleton.,"We also excluded pregnancies exposed to known teratogens as described by Kulaga et al. [ ] ( ), and those resulting in minor malformations alone or chromosomal abnormalities in the newborns for analyses on MCM. Minor malformations are selectively identified and do not reflect the true prevalence; chromosomal abnormalities are not related to medication use.",False,Methods - Study cohort section
4488510,,,False,No specific criteria mentioned
4263710,,,False,No specific criteria mentioned
3789739,All patients were females ranging in age from 29 to 37 years.,,False,Embedded in Materials and Methods section
8270434,A total of 404 patients with heart failure (HF) and LV systolic dysfunction (LVEF<50%) who presented in the Outpatient Heart Failure Clinic at Kaplan Medical Center were prospectively recruited between April 2017 to June 2019.,"Patients with reduced LV function and HF of any known etiology (coronary artery disease, myocarditis, significant valvular disease, chemotherapy, or tachycardia related), prior diagnosis of plasma cell dyscrasia or AL amyloidosis were excluded. Patients with an inconclusive 99mTc-PYP scintigraphy patients and those who had a positive planar scan, but were not able to undergo an additional SPECT scan to exclude blood pool for different reasons were also excluded from the analysis.",False,Embedded in Methods section under Patients description
4954705,,,False,No specific criteria mentioned
4989013,"Inclusion criteria included: participant willing and able to give informed consent, not currently taking any medications (except the contraceptive pill) and a good sleeper determined by self-report and a sleep disorders screening interview.","Exclusion criteria included: any current or previous DSM-IV Axis 1 psychiatric disorder (determined using the Standard Clinical Interview for Diagnostic and Statistical Manual for Mental Health Disorders- Fourth Edition), diagnosis of current sleep disorder, any significant current medical condition likely to interfere with the conduct of the study or analysis of data, typhoid vaccination within the last 3 years, any vaccination within the last 6 months, history of allergies to drugs or vaccines or any component of the typhoid vaccine, congenital or acquired immune deficiency, bleeding disorder, current or recent physical illness or infection within previous 2 weeks, steroidal or non-steroidal anti-inflammatory medication within preceding 2 weeks, current substance misuse, child bearing age and not using reliable form of contraception, pregnant or breast feeding, and finally, has taken part in a psychological or medical experiment involving taking any kinds of drugs within the last 6 weeks.",False,Participants and study design section
6043711,Twentymonthold male and female CB6F1 mice were obtained from the NIH National Institute on Aging (NIA) aged rodent colony.,All mice completed behavioral testing and thus none were excluded from analysis.,False,Embedded in Animals section description
4664485,Adult foxes >1 yr,No foxes less than 1 year of age were sampled.,False,Embedded in Study animals and sampling section
3875427,,,False,No specific criteria mentioned
6169940,,,False,No specific criteria mentioned
5015844,,,False,No specific criteria mentioned
6016802,,,False,No specific criteria mentioned
8136703,"To be included, participants had to be 20 years or older and have no previous intraocular surgery or laser procedures.","participants who had any corneal or conjunctival abnormalities impeding proper evaluation of the AC by AS-OCT, active ocular infection, or inability to perform the test were excluded.",False,Materials and methods - Subjects section
9211045,"The HC fulfilled the following criteria: (a) no abnormal findings in routine brain Magnetic Resonance Imaging (MRI); (b) no findings of stroke, depression, or epilepsy, and other neurological or psychiatric disorders; (c) no visual loss or hearing loss and other neurological deficiencies; (d) no complaints about cognitive and memory; and (e) CDR score of 0","participants with contraindications for MRI were excluded. For example, the subjects who have a cardiac defibrillator, a pacemaker, vascular clips, or a mechanical heart valve cannot take part in the examination; in addition, subjects with neurological or psychiatric diseases or with a history of cerebrovascular attacks or other degenerative disorders were excluded.",False,Materials and Methods - Patient Information section
6333367,"all studies based on intermittent vital sign trends in acutely ill adult patients on hospital wards and in EDs, including all observational studies and controlled trials assessing prognosis. Trends were defined as the changes between two or more consecutive measurements of vital sign values, with a minimum of 3 hours and a maximum of 24 hours between measurements. Articles in English, Danish, Norwegian or Swedish were included.","case series and case reports, studies on patients with specific conditions or with less than 100 participants, or patients directly admitted to ICU. All studies reporting trends in continuous monitoring were excluded.",True,Methods section under Eligibility criteria
6576794,,,False,No specific criteria mentioned
9421442,"All patients had a DSM-5 diagnosis of schizophrenia or schizoaffective disorder, made on the basis of clinical interview and review of casenotes. Patients were required to have a premorbid IQ in the normal range (70), as estimated using the Word Accentuation Test (Test de Acentuacin de Palabras, TAP; ( ,  )).","Patients were excluded if they (a) were younger than 18 or older than 65years, (b) had a history of brain trauma or neurological disease, or (c) had shown alcohol/substance abuse within 12months prior to participation. Patients with a current IQ<70 based on four subtests from the WAIS-III (Vocabulary, Similarities, Matrix Reasoning and Block Design) were also excluded. The controls met the same exclusion criteria as the patients. Controls were also excluded if they reported a history of mental illness and/or treatment with psychotropic medication, or had a history of major mental illness in a first-degree relative.",False,Participants section
6131631,"thirty neurologically healthy volunteers (17 females; 24.72  2.52 years old, range: 2130 years old; 16.03  0.96 years of education, range: 1418 years) were included in this study. All of the participants were recruited from the campus in Taiwan and did not have a history of neurological or psychiatric disorders.","1 subject were excluded because of uncovering the whole brain. Besides, two subjects were excluded because of different nationality (  n   = 1) and missing the behavior scores (  n   = 1).",False,Participants section embedded in the description
3291533,,,False,No specific criteria mentioned
6594637,They needed to have completed and passed the teaching practice modules referred to in the respective curricula.,,False,Participants section embedded in the description
10556575,,,False,No specific criteria mentioned
9586294,,,False,No specific criteria mentioned
6822744,,,False,No specific criteria mentioned
3698143,,,False,No specific criteria mentioned
2915913,,,False,No specific criteria mentioned
10017858,"A total of 15 participants (6 women, aged 28.5  5.8 years) with no known neurological or sensory impairments participated in the study. All participants reported normal or corrected-to-normal hearing and vision.",Participants with no known neurological or sensory impairments participated in the study.,False,Participants section description
6010294,"Participants were recruited among adolescents with congenital or acquired brain damage who had been referred to the Neurorehabilitation Units of the Scientific Institute IRCCS E. Medea in the year before the research onset. For participants with congenital brain damage, we included individuals with alteration of the brain present at birth due to different causes, such as prenatal or perinatal stroke, cerebral palsy or cerebellar malformation. According to the Brain Injury Association of America ( ), we included in the category of acquired brain damage both injuries of a traumatic nature (e.g., falls, assaults, sports injuries, pedestrian injuries, bicycle/motorcycle crashes) and injuries of a non-traumatic nature (e.g., stroke, infectious disease, brain tumors, lack of oxygen and toxic exposure). Patients with acquired brain damage were considered eligible for the study only if they were in a chronical phase (i.e., at least 1 year post-injury). For the whole sample, inclusion criteria for eligibility were: age between 11 and 16 years old, as cognitive demands are generally high at this age and individuals are usually able to use technological devices; being native Italian speakers, as demonstrations and instructions on training games were provided in the Italian language.","Exclusion criteria were: severe sensory or motor deficits that could not be corrected through compensatory tools and could interfere with training execution and assessment; being simultaneously involved in a different cognitive rehabilitation treatment, to prevent excessive demands on patients and possible interference on training adherence rates; a diagnosis of photosensitive epilepsy, as a computer-based stimulation could produce negative health effects in these patients.",True,Materials and methods section with dedicated Inclusion/Exclusion subsections
3232224,,,False,No specific criteria mentioned
8057598,"Clients who were at the facility to seek post-abortion care services were purposefully selected with the help of health professionals. At a point where the PAC clients were about to be discharged, the service providers informed the PAC clients of the study. Clients who were willing to partake in the study were approved by the service provider for their psychological and physical readiness for an interview before they were included.",Women who were willing to partake in the study were provided with consent forms to sign/thumbprint. They were then allowed to select their place and time of convenience for the interview to be carried out. A psychologist was on standby to be called upon in instances of re-traumatization during the interview process.,False,Embedded in Materials and Methods section
9371255,"All patients diagnosed with lymphoma were included. Patients underwent CT for lymphoma evaluation, chemotherapy response, or surveillance after treatment.",12 patients were excluded due to a protocol change (n = 7) and lack of a reference standard (n = 5).,False,Embedded in Study participants section description
10578420,Participants were adults aged 16 to 91 years (56% female and 44% male) with pain lasting more than 3 months. We included all patients as some of them were still working after the retirement age and covered by workers' compensation.,,False,Embedded in Participants section description
4195664,,,False,No specific criteria mentioned
4511822,"A group of 35 healthy subjects (16 males and 19 females) with an average age of 43  17 years (range: 1973 years old) were selected from the ICBM database ( ) ( ) containing T1-weighted MR images (aMRI), 3 DTI series and 3 resting state fMRI series.",PET data was only available for 10 subjects (5 males and 5 females) with an average age of 26.6  5.7 years.,False,Embedded in the Healthy subject data section
9544032,,,False,No specific criteria mentioned
5094768,,,False,No specific criteria mentioned
7081189,"Patients were eligible for the study if: the clinical report had no mention of cardiac shunts or malformations of the great vessels, the atria were of normal size, the ratio of left to right ventricular end diastolic diameters was <1, no persistent arrhythmias defined as a standard deviation of the mean R-R interval during the phase contrast acquisitions exceeding 10% of the R-R interval for either acquisition were present, and there were no extensive fold-over artifacts.","Patients with known cardiac shunt by an independent method (echocardiography, computed tomography or invasive procedure) imaged during the same time period were included.",False,Methods - Study population section
3399862,"They were selected on the basis of the following criteria: (1) no antihypertensive drug therapy at recruitment; (2) complete clinical and genotypic data available; (3) and BP levels ranging from normotensive to stage 2 HTN (for hypertensive individuals, data were gathered before the prescription of any medication).",Stage 3 HTN patients were also excluded in the replication population as they were treated with antihypertensive medication.,False,Materials and Methods - Study Populations section
4334958,,,False,No specific criteria mentioned
6969086,"All participants were right-handed, had normal or corrected-to-normal vision, had no history of developmental disability, and were neurologically intact (screened by self or parental reports).","three children refused to participate or quit during experiment setup, and two children were removed from the analysis due to excessive movement during the entire EEG session",False,Participants section embedded in participant description
7577433,"To be eligible for the study, students at participating community colleges had to be a parent, between the ages of 18 and 34 years old, and earn less than 200% of the federal poverty line.","Participants provided information about their physical health status. They indicated whether they had ever been diagnosed with five physical health conditions (asthma, high cholesterol, high blood pressure or hypertension, a heart condition, diabetes), or any other medical condition. Additionally, participants indicated whether they were currently had four physical health problems (back problems, digestive problems, frequent headaches or migraines, and anemia).",False,Embedded in Participants and procedures section
8375580,,,False,No specific criteria mentioned
3242169,"Thirty-one healthy adolescents (mean age and SD: 15.51.5years; age range: 12.317.7years; 21 females, 10 males) participated in a detailed clinical research assessment, and then engaged in the DecisionReward Uncertainty Task while undergoing fMRI on another day. Healthy adolescent participants were recruited from the community by IRB approved advertisements. Adolescents provided written assent and legal guardians provided written informed consent before participation. Male and females did not differ in handedness, IQ, or socioeconomic status. All participants came from a range of socioeconomic environments (middle to upper socioeconomic strata).","Participants with an Axis I diagnosis, who were not age-typical on neuropsychological testing or had a positive alcohol or drug screen, were excluded. Exclusion criteria for subjects were: (1) current or lifetime history of DSM-IV Axis I psychiatric disorders including alcohol and substance use disorders, (2) significant medical, neurological, or psychiatric disorder, (3) history of head injury or loss of consciousness, (4) pregnancy, (5) history of prenatal or birth confounds that could have influenced brain maturation such as significant prenatal exposure to substances, severe birth complications, or birth weight under 5lb or severe postnatal compromise with neonatal intensive care unit (NICU) stay; (6) morbid obesity or growth failure, (7) full scale IQ lower than 90, (8) history of trauma or child maltreatment, or (9) contraindications to safe participation in MRI research.",True,Participants section with dedicated Inclusion/Exclusion subsections
7237443,"age above 18 years, kidney transplantation regardless the immunological risk constellation, suitable to undergo PET/MRI","claustrophobia, existing metal prosthesis and implantation of any metal devices",False,Methods section
10101425,"Participants who received invasive mechanical ventilation (MV) for  48 hours in the ICUs of one of the participating hospitals and were discharged with a referral for follow-up physical therapy (PT) were eligible for inclusion. The need for follow-up PT was determined by the presence of ICU-AW (Medical Research Council Sum Score < 48), decreased physical function (Functional Ambulation Categories  4), dependency in Activities of Daily Living (ADLs) and/or general deconditioning.",Exclusion criteria were presence of serious (preexisting) cognitive and/or psychiatric impairments or insufficient Dutch or English language skills.,False,Participants section embedded in the description
9371304,,,False,No specific criteria mentioned
10523481,,,False,No specific criteria mentioned
6892561,"Subjects with evidence of secondary causes of steatosis or alternative diagnoses were excluded including alcohol (men, >30 g/day; women, >20 g/day), total parenteral nutrition, chronic viral hepatitis (hepatitis B and hepatitis C), autoimmune liver diseases, hereditary hemochromatosis, 1-antitrypsin deficiency, Wilsons disease and drug-induced liver injury.",,False,Embedded in Human liver samples section
8044304,"Patients with neurodegenerative disorders included 257 patients with probable AD ( ) both at dementia and prodromal (MCI) stages, 50 frontotemporal dementia (FTD) patients ( ), 56 patients with Parkinsons disease (PD) ( ), 7 PD with dementia (PDD) patients ( ), 21 patients with dementia with Lewy bodies (DLB) ( ), 58 patients with atypical parkinsonism or parkinsonism of different etiology ( ;  ;  ;  ), 1 patients with amyotrophic lateral sclerosis (ALS) ( ), 8 patients with Creutzfeldt-Jakob disease (CJD) ( ), 27 patients with normal pressure hydrocephalus (NPH) ( ), and 2 patients with genetically confirmed degenerative spinocerebellar ataxia (SCA). Patients were classified as having subjective cognitive decline (SCD) if they complained cognitive deficits but neuropsychological evaluation was normal or showed subtle deficits not fulfilling criteria for mild cognitive impairment (MCI) (8 patients). Patients with stable MCI (sMCI) showed unchanged neuropsychological results after 1-year follow-up (20 patients). Other diagnostic groups included vascular dementia (5 patients) ( ), cerebral amyloid angiopathy (CAA) ( ) (3 patients), autoimmune encephalitis (8 patients) ( ), encephalopathies of different etiology (2 patients), relapsing-remitting multiple sclerosis (MS) ( ) (6 patients), and cognitively impaired late-onset epilepsy (1 patient) ( ). Patients categorized as having cerebrovascular diseases (CVD) showed significant brain small vessel disease at MRI (i.e., white matter changes, microbleeds, and lacunar infarcts) without fulfilling diagnostic criteria for VaD and CAA (3 patients). Dementia of unknown origin (uDEM) was defined for those subjects in which brain imaging including both MRI and nuclear imaging excluded vascular and neurodegenerative origins (3 patients). Cognitively unimpaired patients referring to our centers for psychiatric disorders or neurological conditions like headaches, seizures, mononeuropathies, and polyneuropathies, in which brain imaging did not reveal gross abnormalities nor underlying neurodegenerative diseases, were classified as control subjects with other neurological diseases (OND) (71 patients).","Patients with stable MCI (sMCI) showed unchanged neuropsychological results after 1-year follow-up (20 patients). Patients categorized as having cerebrovascular diseases (CVD) showed significant brain small vessel disease at MRI (i.e., white matter changes, microbleeds, and lacunar infarcts) without fulfilling diagnostic criteria for VaD and CAA (3 patients). Dementia of unknown origin (uDEM) was defined for those subjects in which brain imaging including both MRI and nuclear imaging excluded vascular and neurodegenerative origins (3 patients).",False,Embedded in Patients section description
6485715,"Only references that met previously fixed PICOS (patients, intervention, control, outcome, setting) criteria, were included in the review.",excluded distinctly irrelevant references such as literature regarding topical ophthalmic FQs.,False,Methods - Study selection section
2997783,,,False,No specific criteria mentioned
10076762,"Thirty-one participants were recruited and were compensated with either course credits or $40 AUD. Data from five participants were excluded after data pre-processing (see below). Therefore, 26 participants constituted the final sample (  M  =21.9,   SD  =2.1, 8 males, 18 females). This study was approved by the University of Queensland ethics committee.",Data from five participants were excluded after data pre-processing (see below).,False,Participants section embedded in the description
4523207,,,False,No specific criteria mentioned
4747495,,,False,No specific criteria mentioned
3568079,,,False,No specific criteria mentioned
10111057,"Eighty nine patients with chronic and refractory tinnitus, and 14 healthy volunteers, were invited to participate in the clinical protocol described in  , previously approved by the Ethical Committee of the Medicine School at Tecnologico de Monterrey (COFEPRIS13CI19039138) and registered as clinical trial in BioMed Central (ISRCTN14553550). From the 103 patients, 53% were females and 47% were males. Of the cohort, 32 of them did not complete the procedure and were discarded from the study. In total, 71 participants were included in the present study (see  ). Age was not an exclusive criterion. Patients with normal audition, unilateral or bilateral hyperacusis, and/or conductive sensory-neural hyperacusis were included.","In total, 103 of participants accepted to participate in the study, and 71 of them completed the experimental procedure. Patients with no severe hearing loss were randomly assigned to placebo and EAE groups. On the other hand, patients with a well-identified tinnitus pitch were included in TRT or ADT groups. Patients with tinnitus lower than 1 kHz were assigned to BBT.",False,"Embedded in the Materials and Methods section, specifically in the Sample subsection."
4686015,,,False,No specific criteria mentioned
10151529,"The present study included 42 healthy male college students (mean age, 23years; age range, 2128years). Participants were randomly assigned to two groups: the nocturnal sleep (NS) group (20 participants) and the SD group (22 participants). All participants were right-handed and maintained good sleep habits (Pittsburgh Sleep Quality Index <5 points). All participants had normal or corrected-to-normal visual acuity, and their IQ scores were greater than the population average (Raven test scores >110 points). All participants provided written informed consent and received monetary compensation upon the completion of the experiment.","None of the patients reported a history of mental or physical illnesses, and none had previously undergone psychophysiological testing. All participants were asked to refrain from smoking, drinking alcohol/coffee, and taking any drugs for at least 48h prior to the experiment, and were instructed to maintain a normal sleep pattern for 1week.",False,Participants section embedded in prose
10903898,,,False,No specific criteria mentioned
