neuroimaging_modality,fmri_design_type,event_design,task_type,condition_type,conditions,total_length_seconds,mri_field_strength,pulse_sequence_type,imaging_type,resolution_mm,analysis_software,preprocessing_steps,statistical_model,pain_type,pain_location,pain_modality,pain_intensity,pain_duration,pmcid
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['focal', 'non-focal']",,3T,gradient echo,echo planar imaging (EPI),3x3,SPM12,"['motion correction', 'slice timing correction', 'normalization', 'spatial smoothing']",GLM,,,,,,10335960
fMRI-BOLD,task-based,mixed,cognitive,,"['picture events', 'picture blocks']",6000.0,,,,2,AFNI,"['motion correction', 'slice timing correction', 'despiking', 'volume registration', 'nonlinear alignment']",GLM,,,,,,9424229
MRI,,,,,,211.0,3T,MPRAGE,3D,1 1 1,SPM12,"['spatial normalization', 'modulation', 'smoothing']",ANOVA,,,,,,4606127
Diffusion MRI,,,,,,,3T,EPI,EPI,2,SPM8,"['motion correction', 'visual inspection']",GLM,,,,,,4128035
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['developmentally supportive', 'developmentally unsupportive']",350.0,3T,gradient echo,echo planar imaging (EPI),2,SPM12,"['motion correction', 'skull stripping', 'coregistration', 'segmentation', 'normalization', 'smoothing']",GLM,,,,,,6007508
fMRI,task-based,event-related,cognitive,neutral,"['word reading', 'saccade']",,,,,,GingerALE,,ALE,,,,,,5434188
MRI,,,,,,1200.0,3T,FLASH,3D,1,SPM,"['motion correction', 'diffeomorphic registration']",GLM,,,,,,3093621
MRI,,,,,,,3T,EPI,2D,2.3,Camino,,,,,,,,3093621
fMRI-BOLD,task-based,block,motor,non-painful,"['PLAY', 'WATCH', 'MOVE']",90.0,3T,gradient echo,echo planar imaging (EPI),2,FSL,"['motion correction', 'spatial smoothing', 'registration']",GLM,,,,,,6036145
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,3D,1.0,DPABI,"['motion correction', 'slice timing correction']",GLM,,,,,,9425908
fMRI,resting-state,,,,,,3T,EPI,EPI,3x3,"SPM8, DPARSF","['motion correction', 'slice timing correction', 'spatial normalization', 'temporal band-pass filtering']",GLM,,,,,,4897690
MRI,,,,,,300.0,1.5T,T1-weighted,,0.47,FSL,"['brain extraction', 'tissue-type segmentation', 'nonlinear registration', 'modulation', 'smoothing']",GLM,,,,,,5029760
MRI,,,,,,480.0,3T,T1-weighted,,1x1x1,SPM12,"['segmentation into gray matter (GM), white matter (WM), and cerebrospinal fluid (CSF)', 'non-linear deformations using DARTEL', 'affine transform to MNI space', 'smoothing with an 8 mm Gaussian kernel']",two-sample t-test,,,,,,6040158
fMRI-BOLD,task-based,block,motor,non-painful,['motor'],360.0,3T,gradient echo,EPI,3,SPM,"['slice time correction', 'realignment', 'coregistration', 'normalization']",GLM,,,,,,8585748
fMRI-BOLD,task-based,block,auditory,non-painful,['auditory'],360.0,3T,gradient echo,EPI,3,SPM,"['slice time correction', 'realignment', 'coregistration', 'normalization']",GLM,,,,,,8585748
fMRI-BOLD,task-based,block,visual,non-painful,['visual'],360.0,3T,gradient echo,EPI,3,SPM,"['slice time correction', 'realignment', 'coregistration', 'normalization']",GLM,,,,,,8585748
MRI,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),1,CONN,"['functional image realignment and unwarping', 'slice-timing correction', 'outlier identification', 'direct segmentation', 'normalization', 'spatial smoothing']",ANCOVA,,,,,,8851472
MRI,task-based,mixed,cognitive,neutral,"['SIVD', 'AD', 'NC']",,3T,gradient echo,3D,1,SPM,"['motion correction', 'slice timing correction']",ANOVA,,,,,,8851472
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['sad/neutral', 'happy/neutral', 'neutral/neutral']",600.0,3T,gradient echo,echo planar imaging (EPI),2.5,AFNI,"['despiking', 'slice acquisition time correction', 'within-subject realignment']",GLM,,,,,,5043643
fMRI,resting-state,,,,,180.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,3946345
fMRI-BOLD,task-based,event-related,emotional,neutral,"['sad', 'happy', 'surprise']",420.0,3T,gradient echo,EPI,3 mm,Brain Voyager QX 1.9,"['slice scan time correction', '3-D motion correction', 'smoothing using Gaussian filter']",GLM,,,,,,3084768
MRI,,,,,,,3T,magnetization-prepared rapid-acquisition gradient-echo (MP-RAGE),3D,1,VBM8,"['smoothing with an 8-mm full-width half-maximum (FWHM) Gaussian kernel', 'high-dimensional Dartel normalization']",GLM,,,,,,5443153
fMRI-BOLD,task-based,block,cognitive,,,500.0,1.5T,gradient echo,echo planar imaging (EPI),3,SPM,"['motion correction', 'slice timing correction', 'coregistration', 'segmentation', 'nonlinear normalization', 'voxel resampling', 'smoothing']",GLM,,,,,,9308536
fMRI-BOLD,task-based,block,cognitive,neutral,"['observation training objects', 'visually trained objects', 'not trained objects']",1800.0,3T,gradient echo,echo planar imaging (EPI),2.2,SPM8,"['slice timing correction', 'realignment', 'unwarping', 'coregistration', 'segmentation', 'normalization']",GLM,,,,,,4049811
fMRI-BOLD,task-based,block,cognitive,,"['0-back', '2-back']",5400.0,3T,gradient echo,EPI,3.0,SPM12,"['slice-time correction', 'realignment', 'normalization', 'spatial smoothing']",GLM,,,,,,8863239
Diffusion MRI,,,,,,,3T,,,1.8,ExploreDTI,"['eddy current distortion correction', 'participant motion correction', 'spatial normalization', 'spatial smoothing']",,,,,,,8863239
MRI,,,,,,,3T,,3D MPRAGE,0.9,,,,,,,,,8863239
fMRI-BOLD,resting-state,,,,,304.0,3T,gradient echo,EPI,3.75,SPM,"['motion correction', 'slice timing correction', 'spatial normalization', 'reslicing', 'spatial smoothing']",ICA,,,,,,3313067
Diffusion MRI,,,,,,,3T,echo-planar,,2,SPM12,"['non-linear distortion correction', 'FA and MD computation', 'co-registration', 'segmentation', 'normalization', 'Gaussian smoothing']",GLM,,,,,,6186956
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['neutral', 'positive', 'negative']",1800.0,3T,gradient echo,EPI,3,SPM,['motion correction'],GLM,,,,,,3879265
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['negative', 'neutral']",1800.0,3T,gradient echo,EPI,3,SPM,['motion correction'],GLM,,,,,,3879265
MRI,,,,,,,1.5T,gradient echo,,1 mm,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,3348167
fMRI,task-based,mixed,cognitive,neutral,"['group', 'individual']",240.0,1.5T,GE-EPI,EPI,3.6,SPM8,"['realignment', 'field-map-based correction', 'coregistration', 'segmentation', 'spatial normalization', 'spatial smoothing']",GLM,,,,,,7483667
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['A', 'B', 'C', 'D']",,3T,gradient echo,echo planar imaging (EPI),2,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,6974031
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['rewarded', 'notrewarded']",1200.0,3T,gradient echo,echo planar imaging (EPI),3.0x3.0x4.0,AFNI,"['motion correction', 'slice timing correction']",GLM,,,,,,6790302
fMRI,task-based,mixed,cognitive,non-painful,"['auditory', 'tactile']",,,,,,Ginger ALE,,ALE,,,,,,6838549
fMRI,task-based,event-related,cognitive,neutral,"['congruent', 'incongruent']",3145.0,1.5T,EPI,EPI,4x4,SPM8,['motion correction'],GLM,,,,,,3443433
fMRI-BOLD,resting-state,,,,,480.0,3T,,3D,2.3,FSL,"['motion correction', 'slice timing correction']",GLM,,,,,,5628803
fMRI-BOLD,task-based,block,cognitive,neutral,"['phonological', 'orthographic', 'semantic', 'baseline']",2400.0,3T,gradient echo,echo planar imaging (EPI),3x3x3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5624616
fMRI-BOLD,resting-state,,,,,,3T,"turbo spin echo, fast low-angle shot",echo planar imaging,3,MATLAB,"['motion correction', 'slice timing correction', 'removal of first 10 volumes', 'head motion correction', 'co-registration', 'segmentation', 'normalization', 'band-pass filtering', 'spatial smoothing']",ANCOVA,,,,,,5904472
MRI,,,,,,,3T,gradient echo,3D,1.0,CIVET MRI analysis pipeline,"['non-uniformity correction', 'linear registration', 'classification of brain volume', 'cortical surface generation', 'nonlinear alignment', 'cortical thickness measurement']",general linear model,,,,,,3760921
fMRI-BOLD,resting-state,,,,,,,,,,GingerALE v3.0.2,,ALE,,,,,,9804052
PET,,,,,,,,,,,SPM12,"['spatial normalization', 'smoothing', 'intensity normalization']",two-sample t test,,,,,,9886651
Diffusion MRI,,,,,,660.0,3T,EPI,EPI,0.9375x0.9375x3.0,"FSL, DSIStudio","['motion correction', 'eddy current correction', 'skull stripping', 'tensor estimation', 'spatial normalization']",,,,,,,8449115
MRI,,,,,,,3T,gradient echo,3D,1.1,SPM8,"['segmentation', 'normalisation', 'modulation', 'smoothing']",GLM,,,,,,4465962
fMRI-BOLD,task-based,block,cognitive,neutral,"['neutral', 'negative', 'reappraise']",970.0,3T,gradient echo,echo planar imaging (EPI),2,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,10110429
fMRI-BOLD,task-based,block,cognitive,neutral,"['shape-matching', 'sad', 'fear']",622.0,3T,gradient echo,echo planar imaging (EPI),2,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,10110429
fMRI-BOLD,task-based,block,cognitive,neutral,"['self-referential', 'letter-discrimination']",682.0,3T,gradient echo,echo planar imaging (EPI),2,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,10110429
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",GLM,,,,,,10595151
MRI,resting-state,,,,,582.0,3T,gradient echo,echo planar imaging (EPI),2.5,CONN Toolbox,"['realignment', 'slice-timing correction', 'coregistration', 'spatial normalization', 'smoothing', 'artifact detection', 'nuisance signal regression', 'band-pass filtering']",General Linear Model,,,,,,7693621
MRI,,,cognitive,,,600.0,3T,MPRAGE,3D,1x1x1.5,SPM8,"['bias-correction', 'segmented', 'registered', 'interpolated', 'smoothed']",GLM,,,,,,4709417
fMRI-BOLD,task-based,block,cognitive,neutral,"['working memory condition', 'control condition']",960.0,3T,gradient echo,echo planar imaging (EPI),3.3,SPM,"['motion correction', 'slice timing correction', 'brain extraction', 'spatial smoothing']",GLM,,,,,,7395020
fMRI-BOLD,resting-state,,,,,600.0,3T,gradient echo,EPI,3,DPABI,"['DICOM raw data conversion to NIFTI format', 'removal of the first 10 time points', 'slice timing correction', 'realignment for head motion correction', 'regression covariates', 'spatial normalization', 'de-linearization drift and filtering']",Gaussian random field (GRF) correction,,,,,,9120527
PET,,,,,,,,,,,SPM5,"['motion correction', 'slice timing correction']",GLM,,,,,,4125626
MRI,,,,,,,3T,MP-RAGE,3D,1 1 1,SPM5,"['motion correction', 'slice timing correction']",GLM,,,,,,4125626
MRI,,,,,,,1.5T,"MPRAGE, spin-echo, fast spin-echo",3D,1 1 1,SPM5,"['motion correction', 'skull stripping', 'segmentation', 'normalization', 'smoothing']",GLM,,,,,,6768953
DTI-MRI,,,,,,,1.5T,echo planar imaging,2D,2,SPM5,"['motion correction', 'normalization', 'smoothing']",GLM,,,,,,6768953
HMRS,,,,,,,1.5T,PRESS,,,Functool,"['zero-filling', 'Gaussian apodization', 'Fourier transformation', 'water reference processing', 'frequency shift correction', 'phase and baseline correction']",t-test,,,,,,6768953
fMRI,task-based,mixed,cognitive,neutral,['emotion>neutral'],,,,,,GingerALE,,ALE,,,,,,9112018
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['go', 'no-go']",240.0,3T,gradient echo,echo planar imaging (EPI),0.9,SPM5,"['motion correction', 'slice timing correction']",GLM,,,,,,3830070
fMRI-BOLD,resting-state,,,,,,3T,echo-planar imaging,,1,GRETNA,"['slice-timing correction', 'realignment']",,,,,,,9643776
Diffusion MRI,,,,,,,3T,,,2,PANDA,"['eddy current correction', 'estimating brain masks', 'cropping images']",,,,,,,9643776
fMRI-BOLD,resting-state,,,,,400.0,3T,gradient echo,echo planar imaging (EPI),3.0,SPM,"['slice timing correction', 'motion correction', 'spatial normalization', 'nuisance signal regression', 'temporal filtering']",ANCOVA,,,,,,10171516
fMRI-BOLD,task-based,block,cognitive,neutral,"['happy', 'fearful', 'neutral']",160.0,3T,gradient echo,echo planar imaging (EPI),3,SPM8,"['sinc interpolation', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,3309518
,,,,,,,,,,,,,,,,,,,10868741
fMRI-BOLD,task-based,block,cognitive,neutral,"['high-calorie food items', 'low-calorie food items', 'non-food items']",600.0,3T,T2*,echo planar imaging (EPI),3,FSL,"['motion correction', 'distortion correction', 'co-registration', 'spatial smoothing', 'high-pass filtering']",GLM,,,,,,9862486
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['anticipation of chocolate milk', 'anticipation of tasteless solution', 'receipt of chocolate milk', 'receipt of tasteless solution']",,3T,T2*,echo planar imaging (EPI),3,FSL,"['motion correction', 'distortion correction', 'co-registration', 'spatial smoothing', 'high-pass filtering']",GLM,,,,,,9862486
fMRI-BOLD,resting-state,,,,,498.0,3T,gradient echo,3D,3x3x3,SPM12,"['motion correction', 'slice timing correction', 'temporal differences correction', 'spatial normalization', 'spatial smoothing', 'linear trend removal', 'nuisance signals regression', 'bandpass filtering']",multivariate linear regression,,,,,,7782966
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,EPI,3,SPM12,"['motion correction', 'slice timing correction', 'co-registration', 'normalization', 'smoothing', 'linear trend removal', 'band-pass filtering']",GLM,,,,,,7099000
Diffusion MRI,,,,,,,3T,dual spin echo,echo planar imaging (EPI),2.5,FSL,"['motion correction', 'eddy current correction']",TBSS,,,,,,2773169
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['0.5s', '2s', '5s', '8s']",720.0,3T,gradient echo,echo planar imaging (EPI),3.75,SPM8,"['motion correction', 'spatial normalization', 'smoothing']",GLM,,,,,,5104469
fMRI,task-based,event-related,emotional,neutral,"['tickle alone', 'tickle accompanied by voluntary vocalization', 'touch alone', 'touch accompanied by voluntary vocalization']",1327.0,3T,gradient echo,echo planar imaging (EPI),2.2,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,9489293
fMRI-BOLD,task-based,block,cognitive,neutral,"['grasp-able', 'kick-able', 'lift-able', 'sit-able']",464.0,3T,gradient echo,echo planar imaging (EPI),2x2,FSL,"['skull stripping', 'slice-timing correction', 'motion correction', 'temporal high-pass filtering', 'spatial smoothing']",GLM,,,,,,10987089
fMRI-BOLD,resting-state,,,,,,,,,2 2 2,RESTplus V1.25,"['removing the first 10 time points', 'slice timing correction', 'head motion correction', 'spatial normalization', 'spatial smoothing', 'linear detrending', 'regressing out nuisance covariates', 'temporal bandpass filtering']",two-sample t-test,,,,,,9160196
fMRI-BOLD,resting-state,,,,,480.0,3T,echo-planar imaging,EPI,3.5,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,5836281
fMRI-BOLD,resting-state,,,,,300.0,3T,gradient echo,EPI,3,"FSL, AFNI","['motion correction', 'skull stripping', 'spatial smoothing', 'grand mean scaling', 'high and low pass filtering', 'normalization']",GLM,,,,,,4174767
Diffusion MRI,,,,,,,3T,diffusion weighted echo-planar imaging,EPI,2,FSL,"['brain-extraction', 'tissue-type segmentation', 'non-linear registration', 'creation of a study-specific template', 'non-linearly re-registration to the study-specific template']",,,,,,,4174767
PET,,,,,,,,,,,,,,,,,,,4174767
fMRI,resting-state,,,,,420.0,3T,echo-planar imaging,EPI,2,SPM,"['motion correction', 'slice timing correction', 'nuisance signal regression', 'normalization', 'band-pass filtering']",GLM,,,,,,7311647
MEG,,,cognitive,,,,,,,,NUTMEG,"['excluding noisy sensors', 'trials with sensor artifacts exceeding 10pT']",ANCOVA,,,,,,10472914
MRI,,,,,,,3.0T,MPRAGE,,1mm,SPM8,"['tissue segmentation', 'bias correction', 'spatial normalization']",GLM,,,,,,10472914
fMRI,task-based,mixed,cognitive,neutral,"['visual', 'conceptual']",476.0,3T,gradient echo,echo planar imaging (EPI),3.1,FSL,"['motion correction', 'slice timing correction', 'high-pass filtering']",GLM,,,,,,5832413
fMRI-BOLD,task-based,block,cognitive,neutral,"['mind-wandering', 'alphabet visualization', 'creative task']",24.0,4T,gradient echo,EPI,2mm,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5171814
fMRI-BOLD,task-based,block,cognitive,neutral,"['3-back', 'X-back']",4800.0,3T,gradient echo,echo planar imaging (EPI),3.0,SPM12,"['head motion correction', 'realignment', 'reslicing', 'co-registration', 'segmentation', 'normalization', 'smoothing']",GLM,,,,,,6838657
fMRI-BOLD,task-based,block,cognitive,neutral,"['cyberbullying', 'neutral']",594.0,3T,gradient echo,EPI,3mm,SPM12,"['motion correction', 'co-registration', 'normalisation', 'smoothing']",GLM,,,,,,9743052
fMRI-BOLD,resting-state,,,,,,1.5T,Turbo Field Echo,3D,1.04x1.04x0.66,SPM 12,"['slice-timed', 'realigned', 'coregistered', 'normalized to MNI space', 'smoothed with 6mm Gaussian kernel', 'outlier-detection', 'band-pass filtered']",ICA,,,,,,8150258
fMRI-BOLD,resting-state,,,,,,1.5T,T2-weighted,EPI,1.80x1.80x6.00,GIFT toolbox,"['slice-timed', 'realigned', 'coregistered', 'normalized to MNI space', 'smoothed', 'band-pass filtered']",ICA,,,,,,8150258
fMRI-BOLD,task-based,mixed,emotional,painful,"['CS+c', 'CS+t', 'CS']",1680.0,3T,gradient echo,echo planar imaging (EPI),1.72,SPM8,"['slice timing', 'spatial realignment', 'normalization', 'smoothing']",GLM,experimental,tooth and tibia,electrical,medium,short,4103082
fMRI,resting-state,,,,,,3T,gradient echo,3D,1.2,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,4925679
fMRI-BOLD,task-based,block,cognitive,neutral,"['visual stimulus', 'dark screen']",4200.0,3T,gradient echo,echo planar imaging (EPI),1,SPM,"['manual reorientation to the anterior commissure', 'coregistration', 'image realignment', 'spatial normalization via unified segmentation', 'spatial smoothing']",GLM,,,,,,7086005
fMRI,task-based,event-related,cognitive,neutral,"['ME', 'SE']",225.0,3T,gradient echo,EPI,3x3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,4083222
fMRI-BOLD,resting-state,,,,,509.0,3T,gradient echo,echo planar imaging (EPI),3,SPM 12.0,"['slice timing correction', 'motion correction', 'spatial normalization', 'resampling to 3 3 3 mm']",GLM,,,,,,8628146
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['RW', 'PS', 'OS', 'OO', 'RR', 'NN']",810.0,3T,gradient echo,echo planar imaging (EPI),3.125,AFNI,"['slice timing correction', 'head movements correction', 'detrend linear and quadratic drifts']",GLM,,,,,,4917538
fMRI,task-based,mixed,cognitive,neutral,"['1-back', '3-back', 'active listening']",9408.0,3T,gradient echo,EPI,3.0,SPM8,"['realignment', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,4870472
fMRI-BOLD,resting-state,,,,,360.0,3T,fast echo-planar imaging,EPI,3.4 x 3.4,FSL,"['high pass filtering (> 0.008Hz)', 'slice timing correction', 'rigid body motion correction', 'removal of non-brain tissue with the Brain Extraction Tool']",PLS,,,,,,4390282
Diffusion MRI,,,,,,,3T,twice-refocused spin echo single-shot Echo Planar Imaging,EPI,1.7 x 1.7,FSL,"['motion and eddy current correction', 'removal of the skull and non-brain tissue using the Brain Extraction Tool']",,,,,,,4390282
fMRI-BOLD,task-based,block,motor,non-painful,"['heel stimulation', 'ankle stimulation']",600.0,1.5T,gradient echo,EPI,3.4 3.4 5.0,FSL,"['motion correction', 'non-brain removal', 'spatial smoothing']",GLM,,,,,,6650750
MRI,,,,,,,1.5T,MPRAGE,,1mm,SPM8,"['segmentation of the images into GM, white matter and cerebrospinal fluid', 'registration to a standard template', 'DARTEL normalization of the GM segments to the MNI template', 'modulation by non-linear components derived from spatial normalization', 'spatially smoothed using an 8mm FWHM Gaussian kernel']",general linear model,,,,,,6399605
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['go', 'stop']",,3T,,EPI,,FSL,['motion correction'],GLM,,,,,,10081400
fMRI,resting-state,,,,,540.0,3T,gradient echo,echo planar imaging (EPI),3.0 3.0 3.5,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,8635780
MRI,task-based,mixed,cognitive,neutral,['neutral'],321.0,3T,gradient echo,3D,1,Freesurfer,"['Talairach transformation', 'intensity normalization', 'removal of non-brain tissue', 'segmentation', 'tessellation of the gray and white matter boundary', 'automatic topology correction']",GLM,,,,,,8635780
fMRI,task-based,sparse,cognitive,neutral,"['N0S0', 'S0', 'S', 'N0', 'N', 'N0S', 'NS0', 'N0SL', 'N0SR', 'NoStim']",750.0,3T,gradient echo,EPI,1.9,SPM,"['motion correction', 'slice timing correction', 'realignment', 'normalization']",GLM,,,,,,3928251
DTI,,,,,,,3T,,,1.4,FSL,['eddy current correction'],,,,,,,3928251
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['positive expression', 'negative expression', 'neutral expression']",480.0,3T,gradient echo,EPI,2,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,7136238
MRI,,,,,,413.0,3T,fast spoiled gradient recalled acquisition (FSPGR),,1.2,SPM8,"['motion correction', 'segmentation', 'smoothing']",GLM,,,,,,5026687
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['reward', 'neutral']",309.0,3T,gradient echo,echo planar imaging (EPI),3.125,FMRIB software library,"['slice-timing correction', 'motion correction', 'brain extraction', 'spatial smoothing', 'high-pass temporal filtering']",GLM,,,,,,2882823
fMRI-BOLD,task-based,block,cognitive,neutral,"['AV', 'A', 'V']",,1.5T,EPI,EPI,3.75 mm x 3.75 mm x 4.40 mm,BrainVoyager QX,"['motion correction', 'temporal high-pass filter', 'spatial Gaussian smoothing', 'co-registration with high-resolution MPRAGE images']",GLM,,,,,,4040936
MRI,,,,,,,3T,,3D,1.5,DPABI,"['motion correction', 'skull removal', 'eddy current correction', 'normalization', 'smoothing']",ANOVA,,,,,,10175985
DTI,,,,,,,3T,,,3,PANDA,"['DICOM format conversion to NIFTI format', 'skull removal', 'head motion artifact and eddy current correction', 'calculation of the diffusion matrix', 'normalization', 'smoothing', 'deterministic fiber tracking']",t-test,,,,,,10175985
MEG,,,motor,,"['FOLLOW', 'LEAD']",300.0,,,,,,"['signal-space separation (SSS)', 'independent component analysis']",GLM,,,,,,4692514
fNIRS,task-based,mixed,cognitive,neutral,"['turn', 'no turn']",4200.0,,,,,nirsLAB,"['band-pass filtering', 'visual inspection', ""modified Beer-Lambert's law""]",DNN,,,,,,10790932
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3.8,FSL,"['motion correction', 'spatial smoothing', 'temporal high-pass filtering']",GLM,,,,,,2995581
fMRI-BOLD,task-based,block,cognitive,non-painful,"['faces', 'flowers', 'bodies']",,3T,gradient echo,echo planar imaging (EPI),3.8,FSL,"['motion correction', 'spatial smoothing', 'temporal high-pass filtering']",GLM,,,,,,2995581
fMRI-BOLD,task-based,block,cognitive,non-painful,"['faces', 'scenes']",,3T,gradient echo,echo planar imaging (EPI),5,FSL,"['motion correction', 'spatial smoothing', 'temporal high-pass filtering']",GLM,,,,,,2995581
MRI,resting-state,,,,,,3T,T1-weighted,gradient-echo single-shot echo-planar imaging (EPI),1 1 1,SPM,"['slice timing correction', 'realignment', 'co-registration to structural images', 'spatial normalization', 'spatial smoothness']",GLM,,,,,,9271794
fMRI,task-based,block,cognitive,,"['physical', 'colour']",5400.0,3T,echo planar imaging,EPI,3.5,AFNI,"['despiking', 'slicetime correction', 'coregistration', 'smoothing']",GLM,,,,,,9544738
MRI,,,,,,,3T,MPRAGE,,1x1x1.5,SPM5,"['bias-correction', 'segmented', 'registered (rigid-body transformation)', 'interpolated isotropic (1.5 mm)', 'smoothed (FWHM 8 mm)']",GLM,,,,,,3774636
fMRI-BOLD,task-based,block,cognitive,,"['encoding', 'retrieval']",216.0,4T,gradient echo,EPI,3.75,SPM 8,"['slice timing correction', 'realignment', 'co-registration', 'normalization', 'low-pass filter', 'spatial smoothing']",PPI,,,,,,4823313
PET,,,,,,60.0,,,,,SPM12,"['co-registration', 'spatial normalization', 'smoothing']",GLM,,,,,,7710517
MRI,,,,,,,,ultrafast gradient echo,3D,1.0 0.98 0.98,SPM12,"['segmentation', 'non-linear normalization', 'smoothing']",,,,,,,7710517
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['variance', 'loss probability', 'maximum possible loss']",720.0,3T,gradient echo,echo planar imaging (EPI),3.44 mm x 3.44 mm x 3.75 mm,SPM5,"['motion correction', 'slice timing correction']",GLM,,,,,,6102448
fMRI-BOLD,task-based,event-related,cognitive,,"['0-back', '2-back']",368.0,1.5T,gradient echo,echo planar imaging (EPI),3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,4431742
fMRI-BOLD,task-based,event-related,cognitive,neutral,['CTS'],1000.0,3T,single-shot echo planar imaging,EPI,3.75 3.7 4,SPM8,"['slice-timing adjustment', 'realignment', 'coregistration', 'segmentation', 'non-linear spatial deformation', 'spatial smoothing']",GLM,,,,,,6277790
Diffusion MRI,,,,,,480.0,3T,spin echo,echo planar imaging (EPI),2.2,FSL,"['motion correction', 'eddy current correction', 'skull stripping']",GLM,,,,,,7490590
