count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_median,age_minimum,age_maximum,age_range,imaging_sample,age_mean_female,age_median_female,age_minimum_female,age_maximum_female,pmcid
105.0,tumors,patients,SCA,,,,,,,,,,,,,4664485
59.0,no tumors,healthy,SCI,,,,,,,,,,,,,4664485
89.0,no tumors,healthy,SNI,,,,,,,,,,,,,4664485
9.0,experimental,patients,C57BL/6 WT mice,9.0,0.0,31.0,31.0,31.0,31.0,31-31,,,,,,6169940
0.0,null,patients,null,0.0,0.0,,,,,,,,,,,6016802
166.0,not specified,patients,not specified,67.0,99.0,66.5,,41.0,93.0,41-93,yes,,,,,8136703
80.0,Alzheimers disease,patients,AD,,,,,,,,yes,,,,,9211045
80.0,healthy controls,healthy,HC,,,,,,,,yes,,,,,9211045
269999.0,medical and surgical admissions,patients,Churpek et al.,,,60.0,,,,null,yes,,,,,6333367
44531.0,medical admissions,patients,Kellett et al.,,,67.5,,,,null,yes,,,,,6333367
2.0,BRAF mutant melanoma,patients,M397,,,,,,,,yes,,,,,6576794
2.0,BRAF mutant melanoma,patients,M229,,,,,,,,yes,,,,,6576794
30.0,healthy,healthy,controls,,,,,,,,yes,,,,,9421442
30.0,neurologically healthy,healthy,volunteers,13.0,17.0,24.72,24.0,21.0,30.0,,yes,,,,,6131631
41.0,null,healthy,trainee teachers,5.0,36.0,23.27,,18.0,35.0,18-35,no,,,,,6594637
12.0,5xFAD,patients,5xFAD Training group,,,,,,,,,,,,,10556575
14.0,WT,healthy,WT Training group,,,,,,,,,,,,,10556575
0.0,null,patients,null,0.0,0.0,,,,,,,,,,,3698143
0.0,null,healthy,null,0.0,0.0,,,,,,,,,,,3698143
15.0,no known neurological or sensory impairments,healthy,participants,9.0,6.0,28.5,28.0,22.0,35.0,22-35,,,,,,10017858
32.0,brain trauma and brain tumors,patients,acquired or congenital brain damage,19.0,13.0,,,,,,yes,,,,,6010294
3.0,Rhizomelic Chondrodysplasia Punctata (RCDP) type 1,patients,Pex7 KO mice,2.0,1.0,,,,,,,,,,,3232224
4.0,healthy,healthy,WT mice,2.0,2.0,,,,,,,,,,,3232224
20.0,null,patients,post-abortion care clients,0.0,20.0,,,,,<20-39,no,,,,,8057598
86.0,lymphoma,patients,all patients,57.0,29.0,58.4,,,,null,yes,,,,,9371255
224.0,chronic pain,patients,ADAPT program,94.0,130.0,,,16.0,91.0,,,,,,,10578420
35.0,healthy,healthy,healthy subjects,16.0,19.0,43.0,43.0,27.0,73.0,27-73,yes,,,,,4511822
0.0,null,patients,LRRK2 (G2019S),,,,,,,null,no,,,,,5094768
0.0,null,healthy,isogenic control,,,,,,,null,no,,,,,5094768
0.0,null,patients,LRRK2 (G2019S) knock-in,,,,,,,null,no,,,,,5094768
91.0,no cardiac shunts or malformations,patients,unknown shunts,56.0,35.0,52.0,52.0,39.0,62.0,39-62,,,,,,7081189
10.0,known cardiac shunt,patients,known shunts,3.0,7.0,44.0,44.0,41.0,47.0,41-47,,,,,,7081189
2971.0,normotensive to stage 2 HTN,patients,discovery population,,,,,,,,yes,,,,,3399862
4620.0,normotensive to stage 2 HTN,patients,replication population,,,,,,,,yes,,,,,3399862
1.0,Tylosaurus proriger,patients,FFHM 199710,,,,,,,,,,,,,4334958
1.0,Platecarpus tympaniticus,patients,LACM 128319,,,,,,,,,,,,,4334958
1.0,Platecarpus tympaniticus,patients,KU 1001,,,,,,,,,,,,,4334958
1.0,Clidastes propython,patients,CFDC M74.10.06,,,,,,,,,,,,,4334958
1.0,"Mosasaurus sp., cf. M. missouriensis",patients,TMP 2012.010.0001,,,,,,,,,,,,,4334958
47.0,none,patients,children,18.0,29.0,,,3.0,10.0,3-10,yes,,,,,6969086
40.0,none,healthy,college students,9.0,31.0,21.2,,18.0,23.0,18-23,yes,,,,,6969086
885.0,PTSS,patients,RISK study participants,0.0,885.0,25.19,,18.0,34.0,18-34,yes,,,,,7577433
31.0,healthy,healthy,adolescents,10.0,21.0,15.5,15.0,12.0,17.0,,yes,,,,,3242169
13.0,DGF or kidney function deterioration,patients,Kidney transplant recipients,8.0,5.0,57.9,,,,unknown,yes,,,,,7237443
59.0,cardiorespiratory admission diagnosis,patients,ICU patients,38.0,21.0,62.0,62.0,53.0,66.0,53-66,yes,,,,,10101425
14.0,NAFLD or steatohepatitis,patients,LAR,14.0,0.0,,,,,,,,,,,6892561
10.0,NAFLD or steatohepatitis,patients,FC,10.0,0.0,,,,,,,,,,,6892561
257.0,probable AD,patients,AD,,,,,,,,,,,,,8044304
71.0,minor neurological non-neurodegenerative disorders,patients,OND,,,,,,,,,,,,,8044304
1752544.0,FQ-related AEs,patients,FQ-related AEs,88999.0,1663545.0,60.8,,,,,,,,,,6485715
0.0,null,patients,Bloodstream form (BSF),,,,,,,null,,,,,,2997783
0.0,null,patients,Procyclic form (PCF),,,,,,,null,,,,,,2997783
26.0,null,patients,null,8.0,18.0,21.9,,,,null,,,,,,10076762
71.0,tinnitus,patients,tinnitus patients,33.0,38.0,,,,,,,,,,,10111057
14.0,healthy,healthy,healthy volunteers,,,,,,,,,,,,,10111057
20.0,healthy,healthy,nocturnal sleep (NS) group,20.0,0.0,23.0,23.0,21.0,28.0,21-28,,,,,,10151529
22.0,healthy,healthy,sleep deprivation (SD) group,22.0,0.0,23.0,23.0,21.0,28.0,21-28,,,,,,10151529
21.0,Tourette syndrome,patients,TS with ADHD,17.0,4.0,10.5,10.0,7.0,15.0,7-15,,,,,,3497583
19.0,nonsmokers,patients,nonsmokers,,,,,,,,,,,,,5347953
19.0,weekly smokers,patients,weekly smokers,,,,,,,,,,,,,5347953
20.0,daily smokers,patients,daily smokers,,,,,,,,,,,,,5347953
21.0,none,patients,NpHR experimental group,21.0,0.0,,,3.0,4.0,3-4 months,yes,,,,,7481003
22.0,none,patients,eYFP control group,22.0,0.0,,,3.0,4.0,3-4 months,yes,,,,,7481003
56.0,healthy,healthy,social judgement,,,,,,,,,,,,,10532823
17.0,healthy,healthy,moral judgement,,,,,,,,,,,,,10532823
11.0,healthy,healthy,risk judgement,,,,,,,,,,,,,10532823
8.0,healthy,healthy,interpersonal judgement,,,,,,,,,,,,,10532823
24.0,none,patients,6-month-old NEP-knockout mice,24.0,0.0,6.0,6.0,6.0,6.0,6-6,yes,,,,,2643003
12.0,none,patients,21-month-old NEP-knockout mice,12.0,0.0,21.0,21.0,21.0,21.0,21-21,yes,,,,,2643003
12.0,none,patients,21-month-old wild-type mice,9.0,3.0,21.0,21.0,21.0,21.0,21-21,yes,,,,,2643003
9.0,none,patients,21-month-old NEP-knockout mice,9.0,0.0,21.0,21.0,21.0,21.0,21-21,yes,,,,,2643003
0.0,null,patients,MDCK cells,0.0,0.0,,,,,null,,,,,,2359857
163.0,null,healthy,Singapore,46.0,117.0,21.9,,,,null,yes,,,,,8428676
163.0,null,healthy,U.S.,45.0,118.0,21.49,,,,null,yes,,,,,8428676
0.0,null,healthy,V-East,,,,,,,null,,,,,,6776359
0.0,null,healthy,V-West,,,,,,,null,,,,,,6776359
0.0,null,healthy,CV,,,,,,,null,,,,,,6776359
0.0,null,healthy,UV,,,,,,,null,,,,,,6776359
0.0,,healthy,SLFN11-WT,,,,,,,,,,,,,8017720
0.0,,healthy,SLFN11-KO,,,,,,,,,,,,,8017720
67.0,none,healthy,LdLp,,,,,,,,yes,,,,,2972212
67.0,none,healthy,OdLp,,,,,,,,yes,,,,,2972212
67.0,none,healthy,LdOp,,,,,,,,yes,,,,,2972212
67.0,none,healthy,OdOp,,,,,,,,yes,,,,,2972212
85.0,FHR-SZ,patients,FHR-SZ,41.0,44.0,,,,,,,,,,,11059809
63.0,FHR-BP,patients,FHR-BP,30.0,33.0,,,,,,,,,,,11059809
98.0,PBC,healthy,PBC,49.0,49.0,,,,,,,,,,,11059809
340.0,null,patients,US residents,190.0,150.0,35.41,,18.0,74.0,18-74,yes,,,,,5469794
1.0,healthy,healthy,adult healthy men,10.0,0.0,,25.0,20.0,30.0,20-30,yes,,,,,7116965
12.0,non-diabetic control,healthy,non-diabetic control group,12.0,0.0,,,,,8 weeks,yes,,,,,4408020
12.0,non-diabetic control,healthy,non-diabetic control group (K+RSV),12.0,0.0,,,,,8 weeks,yes,,,,,4408020
12.0,diabetic,patients,diabetic group,12.0,0.0,,,,,8 weeks,yes,,,,,4408020
9.0,diabetic,patients,diabetic group treated with resveratrol (D+RSV),9.0,0.0,,,,,8 weeks,yes,,,,,4408020
2.0,null,patients,Monkey K,1.0,1.0,,,,,,,,,,,3528341
2.0,null,patients,Monkey S,1.0,1.0,,,,,,,,,,,3528341
16.0,healthy,patients,6-month-olds,11.0,5.0,6.0,6.0,6.0,6.0,6-6,,,,,,3930744
16.0,healthy,patients,12-month-olds,7.0,9.0,12.0,12.0,12.0,12.0,12-12,,,,,,3930744
16.0,healthy,patients,12-month-olds Experiment 2,8.0,8.0,12.0,12.0,12.0,12.0,12-12,,,,,,3930744
30.0,StD,patients,StD subjects,19.0,11.0,,,,,,,,,,,10113366
61.0,HCs,healthy,healthy controls,32.0,29.0,,,,,,,,,,,10113366
6.0,hypertensive cardiac disease,patients,Smad7 KO mice,6.0,0.0,,,8.0,10.0,8-10 weeks,yes,,,,,3720917
10.0,null,patients,CLCF1-ATG,10.0,0.0,8.0,8.0,8.0,8.0,8-8,yes,,,,,10433725
335.0,mumps,patients,mumps outbreak,225.0,110.0,21.6,,4.0,58.0,4-58,no,,,,,4619890
157.0,DILI,patients,DILI cases,96.0,61.0,46.0,46.0,19.0,91.0,19-91,yes,,,,,10231779
634.0,No DILI,patients,controls,362.0,272.0,37.0,37.0,0.0,93.0,0-93,yes,,,,,10231779
100.0,null,patients,male SpragueDawely rats,100.0,0.0,,,,,null,,,,,,6093657
11332.0,ASD symptoms,patients,Class 1,5776.0,5522.0,18.55,18.0,18.0,19.0,,yes,,,,,3536994
11332.0,ASD symptoms,patients,Class 2,5776.0,5522.0,18.55,18.0,18.0,19.0,,yes,,,,,3536994
11332.0,ASD symptoms,patients,Class 3,5776.0,5522.0,18.55,18.0,18.0,19.0,,yes,,,,,3536994
11332.0,ASD symptoms,patients,Class 4,5776.0,5522.0,18.55,18.0,18.0,19.0,,yes,,,,,3536994
100.0,AS,patients,first stage,79.0,21.0,29.5,29.0,21.0,45.0,21-45,,,,,,5426703
100.0,healthy,healthy,first stage,80.0,20.0,29.91,29.0,20.0,40.0,20-40,,,,,,5426703
620.0,AS,patients,second stage,515.0,105.0,28.28,28.0,18.0,50.0,18-50,,,,,,5426703
620.0,healthy,healthy,second stage,512.0,108.0,27.83,27.0,19.0,45.0,19-45,,,,,,5426703
11.0,cancer septic,patients,cancer,,,,,,,,,,,,,5770055
11.0,previously healthy septic,healthy,healthy,,,,,,,,,,,,,5770055
6.0,hepatotoxicity,patients,nimesulide treated,6.0,0.0,,,12.0,18.0,12-18,yes,,,,,3317927
30.0,healthy,healthy,young adults,8.0,22.0,23.9,23.0,16.0,40.0,16-40,,,,,,8963905
11408.0,malaria,patients,neonates,5974.0,5434.0,,,,,,yes,,,,,6988973
0.0,null,patients,null,,,,,,,,,,,,,11101039
43.0,null,patients,experts,,,,,,,,,,,,,9889848
36.0,severe renal dysfunction,patients,se-RD,26.0,10.0,60.9,60.0,,,,,,,,,9427930
85.0,moderate renal dysfunction,patients,mo-RD,57.0,28.0,62.3,62.0,,,,,,,,,9427930
45.0,control group,healthy,CG,19.0,26.0,43.7,43.0,,,,,,,,,9427930
8.0,null,patients,ponies,5.0,3.0,14.0,14.0,14.0,15.0,14-2.8,,,,,,6025858
64.0,null,healthy,psychology students,12.0,52.0,18.69,18.0,18.0,26.0,18-26,,,,,,4503786
64.0,null,patients,null,,,,,,,,,,,,,4503786
45.0,naive participants,healthy,participants,27.0,18.0,25.0,25.0,18.0,32.0,18-32,,,,,,10614914
149.0,healthy,healthy,overall,62.0,87.0,23.0,19.0,17.0,63.0,17-63,yes,,,,,5120109
53.0,spastic type of CP,patients,BTX-A treatment,,,,,,,,yes,,,,,4816309
58.0,PLWHIV,patients,PLWHIV_1,,,,,,,,yes,,,,,7561185
58.0,PLWHIV,patients,PLWHIV_2,,,,,,,,yes,,,,,7561185
58.0,PLWHIV,patients,PLWHIV_3,,,,,,,,yes,,,,,7561185
13.0,Cerebral Palsy,patients,spastic diplegic,8.0,5.0,15.53,15.0,,,,,,,,,5440753
15.0,Typically Developing,healthy,typically developing,8.0,7.0,14.13,14.0,,,,,,,,,5440753
184.0,cognitively normal,healthy,whole sample,,,,,,,,yes,,,,,5710531
15.0,Fibromyalgia,patients,FM,1.0,14.0,,45.0,,,null,,,,,,11140151
18.0,Healthy controls,healthy,CTRL,1.0,17.0,,38.0,,,null,,,,,,11140151
15.0,ADHD,patients,spinal manipulation first,,,,,,,,yes,,,,,8394036
15.0,ADHD,patients,control first,,,,,,,,yes,,,,,8394036
0.0,,healthy,C. sapidus,0.0,0.0,,,,,,,,,,,4388526
82.0,non-obese,patients,non-obese,,,40.44,,19.0,30.0,19.5-30,yes,,,,,5338794
62.0,obese,patients,obese,,,47.19,,30.0,40.0,30-40,yes,,,,,5338794
34.0,Type 2 diabetes mellitus (T2DM),patients,T2DM patients,,,,,,,,,,,,,7303156
88.0,healthy,healthy,healthy controls,,,,,,,,,,,,,7303156
195.0,COVID-19 viral pneumonia,patients,Montreal-COVID-19 CXR dataset,131.0,64.0,,,,,,,,,,,7660555
134.0,COVID-19 viral pneumonia,patients,Twitter-COVID-19 CXR dataset,,,,,,,,,,,,,7660555
16.0,T1D,patients,Std-GCC,8.0,8.0,,,,,,,,,,,3827256
19.0,T1D,patients,C-GFC,8.0,11.0,,,,,,,,,,,3827256
19.0,T1D,patients,EW-GFC,9.0,10.0,,,,,,,,,,,3827256
23.0,T1D,patients,GS-GFC,,,,,,,,,,,,,3827256
6.0,brachial plexus avulsion,patients,patients with brachial plexus avulsion,5.0,1.0,,,26.0,47.0,,,,,,,6305497
12.0,healthy,healthy,healthy controls,,,,,,,,,,,,,6305497
158.0,TPE,patients,TPE,,,45.0,,,,<40-<40,yes,,,,,8202948
400.0,mild-to-moderate AD,patients,DHA trial,188.0,212.0,75.6,,,,null,yes,,,,,3031880
12.0,null,patients,ORG,6.0,6.0,,,,,null,,,,,,6957345
1618.0,null,patients,young men,1618.0,0.0,,,15.0,24.0,15-24,yes,,,,,7853509
2574.0,null,patients,young women,0.0,2574.0,,,15.0,24.0,15-24,yes,,,,,7853509
1702.0,null,patients,young men,1702.0,0.0,,,15.0,24.0,15-24,yes,,,,,7853509
2461.0,null,patients,young women,0.0,2461.0,,,15.0,24.0,15-24,yes,,,,,7853509
671.0,null,patients,young men,671.0,0.0,,,15.0,24.0,15-24,yes,,,,,7853509
2321.0,null,patients,young women,0.0,2321.0,,,15.0,24.0,15-24,yes,,,,,7853509
166.0,severe AECOPD,patients,pre-pandemic,,,,,,,,,,,,,10501653
174.0,severe AECOPD,patients,pandemic,,,,,,,,,,,,,10501653
87.0,severe AECOPD,patients,pre-vaccination,,,,,,,,,,,,,10501653
152.0,knee osteoarthritis,patients,working TKA patients,,,55.0,,28.0,63.0,28-63,yes,,,,,5571908
523.0,knee osteoarthritis,patients,retired TKA patients,,,74.0,,65.0,91.0,65-91,yes,,,,,5571908
716.0,Meniere's disease,patients,unilateral and bilateral MD,,,,,,,,yes,,,,,4232390
17.0,family history of major depression,patients,FH,3.0,14.0,17.6,17.0,16.0,20.0,16-20,,,,,,2890050
15.0,no history of major depression,healthy,HC,4.0,11.0,18.9,19.0,17.0,21.0,17-21,,,,,,2890050
12.0,AP,patients,"AP, probiotics",,,,,,,,,,,,,2639703
12.0,AP,patients,"AP, placebo",,,,,,,,,,,,,2639703
12.0,sham-procedure,patients,sham,,,,,,,,,,,,,2639703
5.0,non-operated controls,patients,control,,,,,,,,,,,,,2639703
64.0,nonkeratinizing undifferentiated NPC,patients,pre-RT,51.0,13.0,46.0,,22.0,63.0,22-63,yes,,,,,5357686
22.0,nonkeratinizing undifferentiated NPC,patients,post-RT-ED,,,,,,,,yes,,,,,5357686
20.0,nonkeratinizing undifferentiated NPC,patients,post-RT-LD,,,,,,,,yes,,,,,5357686
300.0,Tuberculosis (TB),patients,MDR-TB,196.0,104.0,30.0,30.0,15.0,85.0,15-85,yes,,,,,7428183
24.0,null,healthy,participants,11.0,13.0,27.3,27.0,24.0,30.0,24-30,yes,,,,,6602963
0.0,null,patients,DA neurons,,,,,,,null,yes,,,,,3530538
959.0,none,healthy,overall,351.0,606.0,68.34,68.0,50.0,93.0,50-93,,,,,,7449056
436.0,none,healthy,CBS participants,163.0,272.0,67.14,67.0,50.0,90.0,50-90,,,,,,7449056
17.0,rectal cancer,patients,rectal cancer patients,16.0,1.0,68.65,71.0,51.0,76.0,,,,,,,5400638
39.0,control,patients,Ahi1+/+,39.0,0.0,9.0,9.0,9.0,9.0,9-9,yes,,,,,6028478
34.0,CUS,patients,Ahi1+/,34.0,0.0,9.0,9.0,9.0,9.0,9-9,yes,,,,,6028478
28.0,glioma,patients,recurrent tumors,,,,,,,,,,,,,7527584
28.0,glioma,patients,newly diagnosed tumors,,,,,,,,,,,,,7527584
59.0,null,healthy,rice genotypes,,,,,,,null,no,,,,,5983461
57.0,healthy,healthy,healthy volunteers,,,,,,,,yes,,,,,4226573
133.0,cardiovascular disease,patients,cardiovascular disease subjects,105.0,85.0,,,18.0,75.0,18-75,yes,,,,,4226573
21.0,healthy,healthy,participants,2.0,19.0,,,,,,yes,,,,,6854468
62.0,null,patients,Hispanic children,29.0,33.0,8.7,8.0,7.0,10.0,7-10,,,,,,7714231
323.0,Bullied,patients,Bullied,198.0,125.0,9.88,10.0,9.0,10.0,9-10,yes,,,,,10163612
322.0,Non-bullied,healthy,Non-bullied,171.0,132.0,9.84,10.0,9.0,10.0,9-10,yes,,,,,10163612
1919.0,none,patients,police intervention,,,,,,,,yes,,,,,10931527
2.0,null,patients,Rhesus macaque monkeys,2.0,0.0,,,,,null,yes,,,,,9882082
16.0,"schizophrenia, anorexia nervosa, attention deficit hyperactivity disorder, mood disorder",patients,patients with psychiatric disorders,,,,,11.0,41.0,11-41,yes,,,,,8886766
1511.0,NDMM-TI,patients,1LOT,,,71.3,,,,null,yes,,,,,8153459
50.0,healthy,healthy,young adults,25.0,25.0,22.0,22.0,18.0,30.0,18-30,yes,,,,,4172636
30.0,patients,patients,older adults,15.0,15.0,65.0,65.0,60.0,75.0,60-75,yes,,,,,4172636
240.0,undiagnosed pleural effusions,patients,MPM,,,,,,,,yes,,,,,5624636
0.0,null,patients,null,0.0,0.0,,,,,,,,,,,3812127
118.0,tuberculosis treatment dropout,patients,dropout cases,,,,,,,,yes,,,,,6133354
360.0,tuberculosis cure,patients,controls,,,40.6,,,,unknown,yes,,,,,6133354
34.0,none,patients,contact athletes,34.0,0.0,14.7,14.0,10.0,18.0,10-18,,,,,,10666028
23.0,none,patients,non-contact athletes,0.0,23.0,,,,,,,,,,,10666028
4900.0,chemotherapy,patients,newer antiemetic agents,,,,,,,,,,,,,2912767
19000.0,chronic heart failure,patients,ACE-inhibitors,,,,,,,,,,,,,2912767
3500.0,major depressive disorder,patients,second-generation antidepressants,,,,,,,,,,,,,2912767
12.0,,healthy,mice,,,,,,,,,,,,,9250522
6.0,,healthy,mice,,,,,,,,,,,,,9250522
0.0,,healthy,RPE-1 cells,,,,,,,,,,,,,2586089
0.0,,healthy,U2OS cells,,,,,,,,,,,,,2586089
43.0,chronic low-back pain (CLBP),patients,CLBP,17.0,26.0,,,,,,yes,,,,,8830732
51.0,subacute back pain (SBP),patients,SBP,31.0,20.0,,,,,,yes,,,,,8830732
36.0,healthy controls,healthy,HC,20.0,16.0,,,,,,yes,,,,,8830732
0.0,null,patients,Iso-2.1,,,,,,,null,no,,,,,2866655
0.0,null,patients,Iso-3.1,,,,,,,null,no,,,,,2866655
41.0,Parkinsons disease,patients,overall,25.0,16.0,61.7,61.0,54.0,69.0,54-69,,,,,,5766081
11.0,advanced pancreatic cancer,patients,Group A,,,,,,,,,,,,,5242484
10.0,advanced pancreatic cancer,patients,Group B,,,,,,,,,,,,,5242484
54.0,Graves disease,patients,Graves disease patients,,,,,,,,yes,,,,,5886569
47.0,nonfunctional adrenal tumors,healthy,control participants,,,,,,,,yes,,,,,5886569
16.0,healthy,healthy,control,,,,,,,,yes,,,,,10389659
25.0,syringomyelia with chronic neuropathic pain,patients,study,,,,,,,,yes,,,,,10389659
16.0,null,patients,Wistar rats,16.0,0.0,,,,,null,yes,,,,,5362237
614.0,mood disorder symptoms,patients,Saudi participants,104.0,510.0,26.33,,18.0,74.0,18-74,yes,,,,,6705794
